                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82773,                0.61387,                 1.2319,                 0.9587,                0.94734,                0.97278,                0.76263,                0.93569,                0.41073,                 1.3749,               0.003268,               0.003268,               0.003268
                     36,                0.82251,                0.60137,                 1.2256,                0.95283,                0.95809,                0.97682,                0.76799,                0.93336,                0.39439,                 1.3788,                0.00307,                0.00307,                0.00307
                     37,                 0.8169,                0.60069,                 1.2272,                 0.9658,                0.95171,                0.97155,                0.76638,                0.92543,                0.39241,                 1.3664,               0.002872,               0.002872,               0.002872
                     38,                0.81812,                0.59102,                 1.2251,                0.96512,                 0.9588,                0.97641,                0.76967,                0.92856,                 0.3975,                 1.3714,               0.002674,               0.002674,               0.002674
                     39,                0.80932,                0.57767,                 1.2242,                0.97173,                 0.9475,                0.97656,                0.77785,                0.92309,                0.38816,                 1.3677,               0.002476,               0.002476,               0.002476
                     40,                0.83318,                0.41565,                 1.3332,                0.95614,                0.96611,                0.97602,                0.77261,                0.91949,                0.39522,                 1.3612,               0.002278,               0.002278,               0.002278
                     41,                0.82159,                0.39922,                 1.3237,                0.97174,                0.96372,                0.98302,                0.77754,                0.91566,                0.39286,                 1.3625,                0.00208,                0.00208,                0.00208
                     42,                0.81761,                 0.3918,                 1.3139,                0.96355,                0.98029,                0.98512,                0.78504,                0.92215,                0.39215,                 1.3632,               0.001882,               0.001882,               0.001882
                     43,                 0.8096,                  0.386,                 1.3134,                0.95207,                0.98739,                0.98355,                0.77912,                0.91482,                0.37961,                 1.3593,               0.001684,               0.001684,               0.001684
                     44,                0.80581,                0.37914,                 1.3017,                0.96794,                0.97018,                0.98342,                 0.7851,                0.91304,                0.37409,                 1.3549,               0.001486,               0.001486,               0.001486
                     45,                0.80101,                0.37079,                 1.3036,                0.94819,                0.98243,                0.98404,                0.78602,                0.91679,                0.37558,                 1.3615,               0.001288,               0.001288,               0.001288
                     46,                0.79678,                0.36343,                 1.2947,                0.96933,                0.94586,                0.98142,                0.78296,                0.91176,                0.37144,                  1.358,                0.00109,                0.00109,                0.00109
                     47,                0.79026,                0.36121,                 1.2921,                0.95711,                0.97115,                0.98436,                0.78742,                0.91594,                0.37323,                 1.3585,               0.000892,               0.000892,               0.000892
                     48,                0.78344,                0.35248,                 1.2908,                0.96914,                0.97368,                0.98605,                 0.7936,                0.90637,                0.36751,                 1.3497,               0.000694,               0.000694,               0.000694
                     49,                 0.7773,                0.34742,                 1.2813,                0.96972,                0.97014,                0.98546,                 0.7898,                0.91009,                0.36613,                 1.3539,               0.000496,               0.000496,               0.000496
